Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
238,Ramón Laureano,29,2TM,2LG,96,74,58,675.1,146,138,7,1,0,.993,-1,-1,3,5,1.93,2.23,1.51,2.20,,,,,,,97H8,,laurera01
238,Ramón Laureano,29,CLE,AL,31,20,13,186.0,57,52,5,0,0,1.000,4,25,3,19,2.76,2.27,1.84,2.24,,,,,,,98/H,,laurera01
238,Ramón Laureano,29,ATL,NL,65,54,45,489.1,89,86,2,1,0,.989,-4,-11,0,0,1.62,2.21,1.35,2.18,,,,,,,97/H8,,laurera01
239,Luis Campusano,25,SDP,NL,88,74,70,673.2,728,701,24,3,0,.996,-5,-9,-17,-30,9.69,9.06,8.24,8.92,6,36,41,8,16.3,0,2H/3,,campulu01
240,Carson Kelly,29,2TM,AL,84,75,70,672.2,678,642,33,3,8,.996,1,2,-6,-11,9.03,9.16,8.04,9.03,4,27,59,21,26.3,1,2/DH,,kellyca02
240,Carson Kelly,29,DET,AL,60,52,49,472.1,490,461,27,2,7,.996,3,8,-2,-5,9.30,9.16,8.13,9.03,2,18,42,18,30.0,1,2/HD,,kellyca02
240,Carson Kelly,29,TEX,AL,24,23,21,200.1,188,181,6,1,1,.995,-2,-12,-4,-24,8.40,9.16,7.79,9.03,2,9,17,3,15.0,0,2/DH,,kellyca02
241,Javier Báez,31,DET,AL,80,76,73,672.1,320,122,189,9,39,.972,-1,-1,-4,-7,4.16,3.70,3.89,3.65,,,,,,,6/H,,baezja01
242,Alec Burleson,25,STL,NL,87,81,47,671.1,238,221,16,1,12,.996,-1,-2,-3,-5,3.18,3.27,2.63,3.18,,,,,,,D97H3,,burleal01
243,Jesse Winker,30,2TM,NL,92,85,50,670.2,138,129,7,2,1,.986,-2,-4,1,2,1.83,2.21,1.48,2.18,,,,,,,7DH9,,winkeje01
243,Jesse Winker,30,WSN,NL,65,62,47,515.2,105,98,5,2,1,.981,-1,-3,1,2,1.80,2.21,1.58,2.18,,,,,,,7D/H9,,winkeje01
243,Jesse Winker,30,NYM,NL,27,23,3,155.0,33,31,2,0,0,1.000,-1,-9,0,0,1.92,2.21,1.22,2.18,,,,,,,97HD,,winkeje01
244,Kyle Higashioka,34,SDP,NL,83,77,60,665.2,698,669,20,9,1,.987,-3,-5,1,2,9.32,9.06,8.30,8.94,9,23,52,13,20.0,0,2/H,,higasky01
245,Mark Canha,35,2TM,2LG,89,74,58,665.0,407,383,20,4,32,.990,0,-1,-6,-11,5.45,5.57,4.33,5.34,,,,,,,3D7H9/5,,canhama01
245,Mark Canha,35,DET,AL,61,59,48,515.1,281,265,13,3,22,.989,-3,-7,-4,-9,4.86,5.03,4.34,4.99,,,,,,,3D79/H,,canhama01
245,Mark Canha,35,SFG,NL,28,15,10,149.2,126,118,7,1,10,.992,3,21,-2,-16,7.52,7.41,4.31,6.12,,,,,,,3H/97D5,,canhama01
246,Freddy Fermin,29,KCR,AL,91,72,71,663.0,674,634,35,5,2,.993,13,24,16,29,9.08,9.16,7.35,9.03,4,10,21,17,44.7,1,2D/H,,fermifr01
247,Parker Meadows,24,DET,AL,82,75,59,660.0,194,193,0,1,0,.995,14,25,5,9,2.63,2.27,2.35,2.24,,,,,,,8/H,,meadopa01
248,Brandon Drury,31,LAA,AL,80,74,64,656.2,346,174,167,5,48,.986,4,7,-4,-7,4.67,4.30,3.97,4.29,,,,,,,45D3/H,,drurybr01
249,Danny Jansen,29,2TM,AL,82,72,69,654.1,643,619,18,6,1,.991,0,0,-11,-20,8.76,9.16,7.77,9.03,3,11,62,10,13.9,2,2H/D,,janseda01
249,Danny Jansen,29,TOR,AL,54,50,49,443.1,443,424,16,3,0,.993,0,0,-6,-16,8.93,9.16,8.15,9.03,1,9,44,7,13.7,1,2/HD,,janseda01
249,Danny Jansen,29,BOS,AL,28,22,20,211.0,200,195,2,3,1,.985,0,0,-5,-28,8.40,9.16,7.04,9.03,2,2,18,3,14.3,1,2/HD,,janseda01
